topic,topic_word,weght_topic
4,дать,0.023626573
4,знать,0.022493247
4,..,0.016798917
4,помнить,0.0156138195
4,любовь,0.01548735
4,день,0.014315659
4,месяц,0.014288634
4,кот,0.012972278
4,хотеть,0.011373507
4,родитель,0.011197067
4,дочь,0.010536233
4,бог,0.010488043
4,откуда,0.010336013
4,подарить,0.009862804
4,ребёнок,0.009835146
4,звать,0.009309731
4,бояться,0.009308139
4,армия,0.0090111
4,студент,0.008243471
4,показать,0.0081772795
4,рождение,0.007954351
4,называть,0.007937607
4,простить,0.007728123
4,просить,0.007522115
4,подарок,0.007362097
4,че,0.0070893494
4,солдат,0.0065668067
4,учиться,0.0061406796
4,урок,0.006120827
4,блин,0.0060972483
4,услышать,0.005859746
4,учитель,0.005682842
4,люся,0.0053548794
4,целый,0.00521204
4,больший,0.005187524
4,представить,0.0051403297
4,молчать,0.0050841756
4,20,0.004981938
4,жить,0.0048593725
4,состояние,0.004843156
4,спрашивать,0.004822712
4,настоящий,0.00478637
4,первый,0.004743958
4,цель,0.004725051
4,количество,0.004668938
4,курс,0.004646566
4,класс,0.004607483
4,1,0.0045729103
4,говорить,0.0045657246
4,давать,0.0045151087
4,судья,0.004494323
4,равно,0.0044916053
4,менять,0.0044853254
4,морда,0.004477399
4,неделя,0.004441763
4,один,0.0043239812
4,квартира,0.004264149
4,создать,0.004238902
4,сказать,0.003835046
4,солнце,0.0037124937
4,сема,0.0036104931
4,корабль,0.0036092482
4,зима,0.0035810664
4,песня,0.0035591826
4,доченька,0.0035352434
4,ах,0.0034451021
4,город,0.003335808
4,наш,0.0032732761
4,делать,0.0032452766
4,небо,0.003240302
4,дом,0.0032303953
4,китай,0.0031836282
4,бабка,0.0031764794
4,дарить,0.0031250506
4,держаться,0.0031238683
4,дешёвый,0.003113035
4,понять,0.0030880577
4,слабый,0.003082164
4,последний,0.0030304806
4,включить,0.0029948328
4,спорт,0.002954925
4,переживать,0.0029296337
4,смотреть,0.0029240092
4,вода,0.0029193412
4,ленин,0.0029046182
4,рубль,0.0028431339
4,9,0.0027730246
4,свой,0.00275111
4,видеть,0.0027242594
4,мочь,0.0027155532
4,капитан,0.0027084379
4,служить,0.0027026958
4,май,0.0026531375
4,ложиться,0.0026075884
4,сергей,0.0025879517
4,экзамен,0.002587595
4,мешок,0.0025714813
4,бизнес,0.0025543119
4,сойти,0.002546669
5,деньга,0.051325276
5,..,0.016807647
5,нравиться,0.014830443
5,полный,0.013466943
5,помочь,0.012159059
5,назвать,0.008617992
5,человек,0.008023953
5,рыба,0.007959545
5,зарплата,0.00781514
5,попросить,0.0075952015
5,прекрасный,0.0072969208
5,общий,0.007163452
5,животное,0.0070039197
5,бутылка,0.0069969036
5,футбол,0.006930845
5,что-нибудь,0.006881442
5,третий,0.0067894766
5,вещь,0.006450246
5,отдать,0.0063361293
5,купить,0.006022162
5,...,0.0059263
5,золотой,0.0059179487
5,книга,0.0058587594
5,сборная,0.005741939
5,долг,0.0056848917
5,брать,0.005642958
5,давать,0.0055590305
5,покупать,0.00547667
5,гей,0.005468927
5,закон,0.0053395755
5,платить,0.00523617
5,одежда,0.00522417
5,россия,0.0051956596
5,входить,0.005063331
5,природа,0.005015772
5,государство,0.0049521197
5,научиться,0.0049432283
5,ничто,0.004923056
5,пенсия,0.004798083
5,встретить,0.0046830415
5,лифт,0.004609093
5,дядя,0.004600857
5,кредит,0.0045430036
5,дождь,0.0045208586
5,собственный,0.0044694473
5,время,0.0042727757
5,послушать,0.0042350963
5,игра,0.004232682
5,голубой,0.0041625644
5,нормальный,0.00408148
5,просить,0.00405753
5,ловить,0.004054691
5,отдавать,0.004024504
5,тихо,0.003998454
5,какой,0.003843788
5,зарабатывать,0.0038424279
5,получаться,0.0037901676
5,сюда,0.0037372168
5,пустой,0.0037338026
5,радио,0.0037128935
5,турист,0.0036631457
5,который,0.0036578572
5,честно,0.003480659
5,жить,0.0034794135
5,хотеть,0.0034693833
5,страх,0.003463954
5,забывать,0.0033859897
5,таракан,0.0033797962
5,холодильник,0.0033480793
5,заплатить,0.0033398787
5,повезти,0.0033327434
5,поле,0.0033156034
5,грех,0.003288689
5,половой,0.003278521
5,стать,0.0032577435
5,водить,0.003215501
5,жизнь,0.0032028442
5,остаться,0.0031992889
5,классный,0.0031968525
5,заработать,0.003188406
5,тётя,0.003180398
5,метро,0.0031563821
5,говорить,0.0031155085
5,уверить,0.003113016
5,вкусный,0.0030874999
5,пенсионер,0.0030739307
5,голова,0.003034015
5,ох,0.0030227702
5,объяснять,0.003004746
5,рыбка,0.0028985513
5,сказать,0.0028607864
5,страдать,0.0028463586
5,пара,0.0028161656
5,поэтому,0.0028045853
5,абсолютно,0.0027709422
5,тест,0.0027524326
5,футболист,0.002732149
5,вагон,0.0027260925
5,наташа,0.0027077023
5,думать,0.0027011766
6,врач,0.023763182
6,стол,0.014650932
6,доктор,0.012387943
6,рассказывать,0.011314895
6,столько,0.01124621
6,чай,0.010989825
6,готовить,0.010100021
6,пациент,0.009718731
6,цена,0.0095931245
6,голый,0.008765432
6,компания,0.008147374
6,расти,0.008121809
6,три,0.007895775
6,ездить,0.007878128
6,8,0.007621627
6,украсть,0.007214756
6,..,0.00707856
6,хлеб,0.006639685
6,март,0.006286183
6,30,0.006187
6,медведев,0.006099118
6,кто-нибудь,0.006094567
6,больница,0.0060510654
6,рабочий,0.0057405704
6,письмо,0.005662315
6,...,0.0056325854
6,качество,0.005569468
6,продукт,0.0054779057
6,имя,0.0054077595
6,свинья,0.005008002
6,свидание,0.0049442747
6,симпатичный,0.0048528058
6,личный,0.0048221755
6,весь,0.0047990945
6,опыт,0.0047903927
6,танцевать,0.004716644
6,лечить,0.0046318322
6,колбаса,0.004554448
6,психиатр,0.0045540617
6,из-за,0.004443317
6,шея,0.0043857587
6,заставить,0.0043207407
6,губа,0.004208994
6,поесть,0.0041952003
6,наркотик,0.004116679
6,какой,0.004091794
6,мера,0.0040636417
6,мой,0.0040122536
6,сыр,0.0040006116
6,санкция,0.003950147
6,торт,0.0039311424
6,старость,0.0038528815
6,решить,0.0038357351
6,пытаться,0.003762946
6,подружка,0.0037355658
6,пример,0.0037343071
6,знать,0.00372686
6,комар,0.0037044329
6,радоваться,0.0036514082
6,стул,0.0036263508
6,мировой,0.0035665804
6,ввести,0.0035623228
6,медсестра,0.003547406
6,взять,0.0035376996
6,надевать,0.0035093403
6,лекарство,0.0034035544
6,по-моему,0.0032856786
6,рецепт,0.0032800038
6,фигура,0.0032733951
6,полицейский,0.0032265703
6,задуматься,0.0031863635
6,камень,0.003142479
6,палата,0.0031225076
6,лень,0.003016741
6,совершить,0.0030158146
6,отключить,0.0030014666
6,школьный,0.0029499505
6,перейти,0.0029441563
6,котлета,0.0029281625
6,следить,0.0029226674
6,шаг,0.0029194737
6,петя,0.00290633
6,18,0.002904597
6,открыть,0.0028320774
6,зритель,0.0027969475
6,молодость,0.002789167
6,чистить,0.0027435066
6,получить,0.0026907534
6,икра,0.0026800907
6,вынести,0.00264469
6,вечеринка,0.0026378408
6,лысый,0.0026241213
6,труп,0.0025969094
6,попытка,0.0025924947
6,ходить,0.002548689
6,поцеловать,0.002538472
6,сотовый,0.0025031706
6,вчера,0.002483268
6,озеро,0.002476309
6,зуб,0.0024725145
7,друг,0.0444411
7,любить,0.04370897
7,россия,0.033999924
7,страна,0.015964292
7,путин,0.014388291
7,..,0.0142926015
7,президент,0.0130025055
7,иметь,0.012893677
7,российский,0.011663064
7,народ,0.010867486
7,выпить,0.010355027
7,право,0.00935362
7,сша,0.009124198
7,депутат,0.007904637
7,встречаться,0.007848223
7,двое,0.007840609
7,возраст,0.007836912
7,вечер,0.007770013
7,отношение,0.0076397797
7,поехать,0.0071151815
7,изя,0.006704058
7,считать,0.0064545264
7,человек,0.0062890947
7,чувство,0.006250107
7,выборы,0.0061275633
7,поезд,0.00592403
7,любовница,0.0058440287
7,проснуться,0.0056385044
7,праздник,0.0056141946
7,остаться,0.0055057267
7,заявить,0.005285975
7,чиновник,0.0052199336
7,житель,0.005149547
7,закончиться,0.004755194
7,наш,0.0047047297
7,победа,0.0047023003
7,жить,0.004538374
7,наконец-то,0.0044857054
7,один,0.0044353576
7,глупый,0.0043798685
7,закрыть,0.004356131
7,американский,0.004293536
7,достаточно,0.00428687
7,владимир,0.0042279363
7,другой,0.0042147064
7,встречать,0.0041527296
7,коррупция,0.0040966733
7,борьба,0.004096556
7,находить,0.0038836296
7,вопрос,0.0037618885
7,свобода,0.0036685627
7,спорить,0.003639123
7,политика,0.003618319
7,умирать,0.0036167095
7,знать,0.003610261
7,страшно,0.003607625
7,мнение,0.0035427443
7,приносить,0.0034882966
7,стать,0.0034424856
7,рядовой,0.0033870917
7,пятница,0.0033071488
7,европа,0.0032972554
7,рог,0.003281938
7,похоже,0.0032798578
7,везти,0.0032737586
7,крепкий,0.0032273936
7,глупость,0.0031897596
7,сержант,0.0031531716
7,уважаемый,0.0030872691
7,граница,0.0030352867
7,привычка,0.0030199396
7,серьёзный,0.002978083
7,условие,0.0028737152
7,проверить,0.0028338847
7,музыка,0.0028290018
7,конфета,0.0028178191
7,являться,0.0028155148
7,задавать,0.0028044318
7,ответственность,0.0027748935
7,газ,0.0027145315
7,утром,0.0027009184
7,госдума,0.0026959314
7,мойша,0.0026818532
7,вообще,0.0026713877
7,министр,0.0026364822
7,новогодний,0.0025925864
7,который,0.002590379
7,любой,0.0025789165
7,собираться,0.0025187158
7,свой,0.0025143889
7,знание,0.0024750563
7,определить,0.0024507602
7,зло,0.00242499
7,нефть,0.0024182193
7,мочь,0.00238378
7,информация,0.0023190945
7,диета,0.002300023
7,добро,0.0022906496
7,движение,0.002243837
7,прямой,0.0022317013
8,дверь,0.019330118
8,кто-то,0.016933195
8,проблема,0.016105702
8,..,0.015443744
8,свадьба,0.013686451
8,сторона,0.012970255
8,гость,0.012913476
8,точно,0.011413825
8,дура,0.010768351
8,звонок,0.0104339905
8,знать,0.010169522
8,никто,0.0095643895
8,открывать,0.009227415
8,...,0.008460602
8,сильно,0.008338071
8,телевизор,0.008187663
8,момент,0.007499098
8,стена,0.007295037
8,дама,0.0072793397
8,сто,0.007106233
8,смотреть,0.0069115795
8,невеста,0.0064477716
8,вчера,0.0057637244
8,видеть,0.005682618
8,сказать,0.0056774644
8,украинский,0.005608182
8,читать,0.005465034
8,бумага,0.005352586
8,приятель,0.0052766725
8,молодой,0.0052530514
8,требовать,0.0052256463
8,гулять,0.0052235047
8,корова,0.0050910506
8,отвечать,0.00505794
8,стоить,0.004946577
8,мадам,0.004888392
8,спина,0.004799244
8,пойти,0.0047641294
8,приём,0.0047412845
8,спрашивать,0.004736557
8,цветок,0.004690482
8,напиться,0.004654516
8,прямо,0.004584108
8,продавать,0.0045785406
8,утром,0.004553952
8,борщ,0.0045038993
8,начаться,0.0044990084
8,обращаться,0.004459926
8,дом,0.004281305
8,молоко,0.004248958
8,бросать,0.0041980306
8,понимать,0.004085443
8,развод,0.0040210206
8,опытный,0.0040147454
8,один,0.003858971
8,подать,0.0038339226
8,объяснить,0.0038295113
8,сложный,0.0037858754
8,пацан,0.0037509545
